Month,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
October,65,184,52,125,110,124,76,184
November,216,646,203,484,412,470,289,657
December,10418,28228,7975,19624,17866,17251,12327,29222
January,8854,24887,7041,18837,16941,16318,11327,27165
February,10323,24894,8289,18930,17358,16980,12314,28128
March,15325,34060,11446,27181,22612,24169,14602,35677
April,50194,116736,37936,91193,77504,80050,51899,124753
May,9256,20135,7868,16055,14165,14167,10710,22575
June,36496,82734,30502,64131,59104,55154,42249,92545
July,11652,28638,9835,19358,20252,18094,11975,30589
August,36973,94124,32040,63953,65507,59761,39076,98944
September,69505,180615,60611,125628,125528,117363,76512,189983